Program/module name         Debian package             Usage

mod_perl2                   libapache2-mod-perl2       Running it all :-)
apreq2                      libapache2-request-perl    Parsing CGI parameters
                            libapache2-mod-apreq2
PerlMagick                  perlmagick                 Scaling etc.
MIME::Types                 libmime-types-perl         Sending the right MIME types
DBD::Pg                     libdbd-pg-perl             PostgreSQL connection
Image::ExifTool             libimage-exiftool-perl     Parsing EXIF data
jpegtran                    libjpeg-progs              Lossless JPEG rotation
dcraw                       dcraw                      NEF support

